"block","card_in_block","design_set","alt","cost","location","hours","care","food","operator","inclusion"
1,1,1,"A","KES 30/day","5-minute walk","7:00-17:00","1 trained caregiver per 5 children","Porridge and lunch provided","County and private operator jointly agree on fees; complaints go to a joint office","Physically accessible with staff trained to support children with disabilities"
1,1,1,"B","KES 60/day","Inside the market, next to the stalls","6:00-19:00","1 trained caregiver per 10 children","You bring the child's food","County staff; complaints go to the county office","Physically accessible (ramp, adapted toilet), staff not disability-trained"
1,2,5,"A","KES 30/day","15-minute walk","6:00-19:00","1 untrained helper per 10 children","You bring the child's food","Private operator paying rent; operator sets fees; complaints go to the operator","No special accommodation for children with disabilities"
1,2,5,"B","KES 150/day","Inside the market, next to the stalls","7:00-17:00","1 trained caregiver per 5 children","Porridge and lunch provided","County staff; complaints go to the county office","Physically accessible (ramp, adapted toilet), staff not disability-trained"
1,3,7,"A","KES 100/day","15-minute walk","6:00-19:00","1 untrained helper per 10 children","Porridge and lunch provided","County and private operator jointly agree on fees; complaints go to a joint office","No special accommodation for children with disabilities"
1,3,7,"B","KES 150/day","5-minute walk","7:00-17:00","1 trained caregiver per 10 children","You bring the child's food","Private operator paying rent; operator sets fees; complaints go to the operator","Physically accessible with staff trained to support children with disabilities"
1,4,9,"A","KES 60/day","5-minute walk","7:00-17:00","1 untrained helper per 10 children","Porridge and lunch provided","Private operator paying rent; operator sets fees; complaints go to the operator","Physically accessible (ramp, adapted toilet), staff not disability-trained"
1,4,9,"B","KES 150/day","15-minute walk","6:00-19:00","1 trained caregiver per 5 children","You bring the child's food","Committee of market traders; complaints go to the committee","Physically accessible with staff trained to support children with disabilities"
1,5,13,"A","KES 150/day","15-minute walk","7:00-17:00","1 untrained helper per 10 children","You bring the child's food","County staff; complaints go to the county office","No special accommodation for children with disabilities"
1,5,13,"B","KES 100/day","Inside the market, next to the stalls","6:00-19:00","1 trained caregiver per 10 children","Porridge and lunch provided","Committee of market traders; complaints go to the committee","Physically accessible with staff trained to support children with disabilities"
1,6,14,"A","KES 30/day","Inside the market, next to the stalls","6:00-19:00","1 trained caregiver per 5 children","Porridge and lunch provided","County and private operator jointly agree on fees; complaints go to a joint office","Physically accessible (ramp, adapted toilet), staff not disability-trained"
